username;name;salary;rating;age;note;comment
nicole_stein_1952;Nicole Stein;69.0;97.1;96.2;"""Note: Draw bar; then Prove recognize""";"""Note: Visit probably; then Throughout follow of city control fish"""
julia_owens_5324;Julia Owens;72.0;13.1;99.2;"""(Study) ; Bit instead and Goal event least""";"""Note: Drug particular hand; then Just close step house"""
jamie_morris_2405;Jamie Morris;86.0;69.1;52.2;"""Both read international above; At evening ; Read east want beat""";"""Sound myself worry; Her most war Big according six compare"""
victoria_odonnell_3490;Victoria Odonnell;3.0;87.1;88.2;"""Father time; Toward improve benefit Deep""";"""Note: Front help claim page full much hour; then Good paper growth"""
shawn_jr_2133;Shawn Miller Jr.;95.0;41.1;53.2;"""Name star; Field law Assume""";"""Today bill manage; Establish realize Cover adult north actually"""
ms_small_3838;Ms. Joanna Small;20.0;97.1;2.2;"""(Foreign their) ; Remain central and Song our""";"""Four; Six it ; Usually town ago instead whose type"""
david_wood_7137;David Wood;42.0;18.1;27.2;"""City bill morning really level: Their; Democratic business doctor doctor stay""";"""(Blood sense study) ; Teach question fire can field base and Where focus growth"""
brian_manning_9816;Brian Manning;47.0;88.1;;"""Situation professor action: Point we experience mouth admit; Toward produce skin citizen market""";"""Argue why agency: Participant mouth; Why move fire"""
jonathon_stewart_5778;Jonathon Stewart;59.0;97.1;7.2;"""Much activity; Land may on ; Indicate attention onto""";"""Two soon: War item democratic; Moment article beat born"""
robin_macias_0051;Robin Macias;74.0;29.1;52.2;"""Note: With daughter wear success beat; then Alone base movie""";"""Just heart: Question special; Door"""
jessica_stanley_2306;Jessica Stanley;97.0;45.1;15.2;"""Ok west most world: Mention; Region easy he""";"""Bank list have value; Off All use strong relationship change"""
philip_white_6906;Philip White;82.0;93.1;28.2;"""(Everyone) ; Expert itself TV painting and Above stay discuss""";"""(Performance forget idea and) ; Mean method peace responsibility red and Worker grow end tell"""
angela_reyes_5011;Angela Reyes;86.0;35.1;65.2;"""No; Student ; How price know whole item""";"""Note: Region glass; then Compare generation clear"""
john_cortez_7489;John Cortez;30.0;23.1;81.2;"""Order page college; Catch ; Happen cultural involve""";"""Note: Chair modern; then View middle tonight space red democratic"""
adam_wilcox_6993;Adam Wilcox;98.0;20.1;10.2;"""Note: Everybody blood deep southern wish focus; then Run lose successful""";"""Effort difficult; My Trade court partner condition"""
mary_wheeler_5944;Mary Wheeler;12.0;38.1;5.2;"""(Face what) ; Large bed and Source star allow""";"""How training day capital trouble: Full according; Cut its"""
nicole_campbell_0577;Nicole Campbell;71.0;64.1;31.2;"""Hand more use rest leave; Report feeling today ground foot wrong ; Free next present""";"""Note: Here kitchen school design possible page; then Eye"""
karen_frye_7968;Karen Frye;23.0;19.1;67.2;"""(But) ; Ok matter church drop and Test sell best""";"""(Sing pressure letter) ; Suggest and Forget garden shoulder Republican girl billion"""
curtis_griffin_7025;Curtis Griffin;36.0;75.1;87.2;"""Cut manage; Field so local wind seat ; Weight upon when full Republican""";"""Word after take much play; Program school key star boy Notice old exactly whole"""
douglas_waters_2788;Douglas Waters;98.0;57.1;62.2;"""Level international; How Town rest effect these identify""";"""Pull remember work doctor themselves yet: Country from exist; Glass yet individual"""
patricia_chambers_2735;Patricia Chambers;48.0;94.1;27.2;"""Alone find; Positive quite Shake across life question""";"""Police; Rise nearly Huge hundred fill"""
stacey_young_8676;Stacey Young;;82.1;43.2;"""Reveal; Student blood science sometimes quality fact politics ; Campaign everyone""";"""(Training next) ; Teacher push and Grow painting number"""
charles_howell_9654;Charles Howell;89.0;86.1;25.2;"""Whom life; Water civil ; Cut child order hand""";"""(Front gas hear scientist approach night) ; Likely single series off defense and Along within decision house firm"""
amy_williamson_6516;A;94.0;80.1;90.2;"""Mind example process: Choose; Let budget nature body today which""";"""Cost bill: Least up term religious; Each find situation sit less good"""
natalie_thomas_9577;Natalie Thomas;84.0;16.1;45.2;"""Last garden scene garden; Or right quite Action protect""";"""Success mother trouble evening pass skill; Here approach believe ; Dream season"""
michele_vargas_5698;Michele Vargas;66.0;27.1;34.2;"""Note: Industry politics per; then Financial environmental""";"""He camera back: Stuff threat art health; Read development"""
ann_barrett_2511;Ann Barrett;100.0;85.1;40.2;"""Other mother model moment few; Final certain simple ; Once chair""";"""Even hand appear public: Water capital; Reality lose"""
kimberly_jenkins_2461;Kimberly Jenkins;24.0;100.1;45.2;"""Note: Hand move; then Catch fill""";"""Series build; Shoulder Upon half"""
brandon_allen_0714;Brandon Allen;25.0;69.1;4.2;"""Suffer deal; Difficult degree real others Front""";"""Note: Instead sometimes; then Unit resource"""
michelle_wells_8523;Michelle Wells;12.0;41.1;62.2;"""Least: Station red organization; Serve indicate""";"""Quickly hospital often: Personal from; North company allow movement"""
