# This is a comment line to skip
username;salary;total_count;score;comment;summary
rebecca_craig_1947;10.0;73.1;95.2;"""Finish: Half other beat coach his interesting; College forward in else from""";"""Note: Property performance; then Hot must firm Mrs choice particularly"""
ryan_irwin_6836;90.0;67.1;57.2;"""Thank wide: Different notice marriage; Boy""";"""Dark effort case: Compare experience; Experience point explain produce grow"""
michael_hoffman_1310;19.0;59.1;78.2;"""(Raise parent everyone mouth country his) ; Operation write and Situation""";"""Note: Per sense maybe talk; then Agree situation major store"""
kenneth_larson_6910;79.0;68.1;25.2;"""Note: Majority sister laugh who explain management; then President certain learn kid""";"""Approach director sign machine set; Tv Seek defense owner or participant image"""
mrs_morris_3421;7.0;4.1;45.2;"""Note: Scene once mean economic; then Weight fish""";"""(Or public begin as) ; Party better building car and Piece yeah special billion him why"""
patricia_jones_3250;30.0;15.1;70.2;"""Note: Have for; then Call young lead""";"""Think; Theory agree ; Education hair worry"""
stephanie_bowman_8198;42.0;17.1;46.2;"""(Technology hear minute whom effect) ; Learn control into strategy and Why smile would""";"""(Build firm who campaign) ; Image and Collection program though simply"""
seth_murillo_2273;44.0;22.1;8.2;"""Pick national; Education Just half return prepare thing significant""";"""Mouth president eight similar; Question ; Live measure somebody lot by"""
gary_vargas_6026;36.0;29.1;84.2;"""Treatment spring threat: Machine apply might report page attention; Child""";"""Carry: Special technology analysis; Network about"""
jeremy_crosby_8411;71.0;86.1;85.2;"""(Account sea) ; Thus quite and Speak soldier range who""";"""(Work general) ; Per Republican though and Believe research six give"""
jeremy_carpenter_0943;58.0;31.1;59.2;"""Guess; Candidate so ; Both or fine continue""";"""(Medical kind become form chair) ; Big feeling clearly plant data and Many note protect itself education"""
virginia_munoz_7266;5.0;35.1;95.2;"""Serve level; Soldier fight threat relationship Why station""";"""Cell threat key health win; Realize Growth defense together"""
michelle_harris_7935;35.0;54.1;33.2;"""Section image respond result company; Theory notice ; Even others""";"""Note: Outside parent idea; then Past beat"""
jacob_davis_5449;42.0;75.1;52.2;"""Piece either subject: Data human tell value; Of water field scene minute cover""";"""(Morning but present they business) ; Listen improve gas against and Check task throw instead rule"""
john_stewart_5541;40.0;95.1;57.2;"""(Must throughout pattern) ; Phone ground and Our off loss front""";"""Carry article: Change suggest current; Stage"""
matthew_kennedy_2097;87.0;61.1;85.2;"""Note: I cut; then State order summer""";"""(We hundred our) ; Account help agree record and Role wind to"""
mr_shelton_4156;25.0;9.1;56.2;"""Attack arrive arm idea energy: More whom price; Fill""";"""Court throughout run; However maybe Something enjoy meeting"""
thomas_walton_3999;41.0;51.1;94.2;"""Note: Then office source summer thus; then Seek across price""";"""Individual politics likely sense size sing; Majority last cup get Drug another recent mean condition cup"""
donna_stevens_0799;21.0;76.1;33.2;"""Note: Executive line; then Grow care study""";"""Himself those participant; Bar ; Prevent southern"""
jamie_dds_7095;;;55.2;"""Note: Lawyer; then Whom raise personal""";"""(Situation) ; Management run sense and We pass boy yard room term"""
allison_nicholson_5952;86.0;28.1;70.2;"""Room score find consider: List staff attention cup; Part""";"""Personal current: Discuss course evening chance clearly; Really gas seem tough"""
kristen_miller_0074;82.0;73.1;82.2;"""(Person) ; General new television and Nation million""";"""Take standard wide employee capital; Suddenly small left ; Bring realize ball"""
frances_smith_2908;76.0;67.1;55.2;"""Effort whose painting; Court movie ; Something look""";"""Interest everyone window; Better ; Executive old picture of order bed"""
julie_harrington_2121;21.0;86.1;9.2;"""Hotel no second buy: Quality argue; Table""";"""Many he; Decade establish training financial ; Film raise true"""
amanda_davis_7527;1.0;45.1;;"""Note: Group major; then Practice whose""";"""Certainly water modern think political; Act Mr ; Explain check issue participant"""
rebecca_meyer_4686;25.0;18.1;41.2;"""Rise leg position general; Four exactly ; Ago relationship fine strong speak""";"""Note: Be; then Similar account"""
