username;name;score;total_count;age;description;summary
christopher_foster_0051;Christopher Foster;;57.1;95.2;"""Note: Figure case half; then Memory product eye""";"""True; Young important Song"""
alejandro_flores_7293;Alejandro Flores;5.0;12.1;45.2;"""Note: Particular audience already budget participant; then Particular individual ago president""";"""Evidence culture move particularly concern: Late; Foot"""
miguel_miller_7235;Miguel Miller;80.0;42.1;1.2;"""(Single hear) ; See grow and Record question relationship""";"""Administration grow process actually: Use listen; Task loss act end your"""
noah_walker_2965;Noah Walker;41.0;15.1;81.2;"""Source force song: Program check; Pay prove appear land""";"""Whole common executive range; Certainly ; Out find"""
cheryl_west_5996;Cheryl West;10.0;69.1;66.2;"""Energy away: Head possible; Capital feel purpose""";"""Allow body; East star lead ; Anyone appear treatment collection"""
mr_wheeler_3465;Mr. Carlos Wheeler;91.0;57.1;;"""(Mission close war black) ; Idea figure ever because president strategy and Animal difference try""";"""Rich listen; According check Color watch analysis"""
craig_wise_6241;Craig Wise;70.0;20.1;68.2;"""Exactly size never; Not born home politics Church owner carry""";"""Window to better police; Decade Authority"""
monica_wright_0806;Monica Wright;10.0;44.1;27.2;"""(Though pass share research eye) ; Conference really and Mr power should technology why chance""";"""Hear pick medical nor; Major ; Appear benefit color"""
misty_carroll_6885;Misty Carroll;93.0;82.1;91.2;"""(Often well) ; Raise name and Tv senior either good everything""";"""(I) ; Whatever and Wait focus foreign feel"""
tiffany_aguilar_3642;Tiffany Aguilar;83.0;30.1;67.2;"""Grow manager option difference; Participant hot agent ; Recently tree""";"""Issue hear current; Purpose sense lead Together so sure"""
mr_williams_3226;Mr. Phillip Williams;40.0;10.1;39.2;"""(Really test almost society) ; Alone know between professor and Force situation nation""";"""Note: Reason identify professional Democrat; then Lawyer consider green"""
justin_hernandez_7454;Justin Hernandez;64.0;2.1;91.2;"""Individual reveal stay debate: Identify media; Certainly professor arrive""";"""(Start red) ; While and Growth interview picture"""
brandy_ford_4740;Brandy Ford;33.0;58.1;14.2;"""Yeah race bill: Head goal; Notice station he choice""";"""Note: Institution Democrat; then Meeting"""
chad_griffin_8341;Chad Griffin;25.0;;89.2;"""Early morning fire number: Democrat argue without; Player""";"""Can thing her officer; Popular a Positive"""
mr_ii_2240;Mr. Benjamin Lee II;100.0;37.1;40.2;"""Around happen; Top everyone difference almost Either service""";"""Common paper tax: Yes decade would; Let"""
emily_hansen_1208;Emily Hansen;73.0;93.1;6.2;"""Note: Enter subject Republican fire player; then Key someone yes""";"""(Any like billion) ; Movement attorney and Physical policy ok very week goal"""
christopher_skinner_4135;Christopher Skinner;30.0;45.1;69.2;"""Interesting they why only; Type sport ; What hit fund""";"""Sister environment thank; Past learn Approach language"""
michael_haney_7792;Michael Haney;10.0;29.1;10.2;"""(Training) ; Accept suddenly million security thank and Same""";"""Alone: Should book beat maybe response; Would wear machine"""
ashley_jones_6322;e;5.0;19.1;18.2;"""Note: Guy artist; then Capital yes""";"""Note: Than expect debate; then Reason service house market include face"""
richard_melendez_9659;Richard Melendez;46.0;51.1;52.2;"""Politics benefit defense likely; Line respond Activity newspaper door positive""";"""Note: Such onto street; then Pick difficult everyone"""
