name	username	total_count	remark
Helen Vaughan	helen_vaughan_4458	84.0	"""Neque eius: Architecto non	 Placeat nemo sequi"""
Miss Jodie Frost	miss_frost_7554	16.0	"""Facere temporibus	 A facilis delectus laboriosam Repellat culpa"""
Mrs Valerie Turner	mrs_turner_1855	35.0	"""Magnam veritatis; Culpa tempora 	 Beatae magnam ullam earum"""
Conor Warren	conor_warren_4199	21.0	"""Eaque asperiores quo: Tempore quo	 Ab"""
Colin May	colin_may_6806	34.0	"""(Ducimus vero iusto enim nam) 	 Consectetur maiores quisquam quos and Exercitationem commodi qui"""
Victor Young	victor_young_2147	32.0	"""Note: Ut minus	 then Tempora nisi soluta architecto labore"""
Mr Marcus Cartwright	mr_cartwright_1852	56.0	"""Eos laborum	 Repellendus sequi magnam aliquam sit quibusdam Aspernatur cumque"""
Gary Price	gary_price_7413	76.0	"""Maiores occaecati culpa repudiandae ex; Reiciendis esse unde amet 	 Omnis rem"""
Dr Max Cox	dr_cox_9207	76.0	"""Impedit totam sint; Quo beatae in 	 Maxime ad deserunt nihil quos"""
Beth Roberts	beth_roberts_9916	60.0	"""Laboriosam saepe maxime corporis amet: Eligendi	 Error illo molestiae"""
Dr Stewart Jones	dr_jones_9623	4.0	"""Note: Minus laborum	 then Vitae"""
Dr Roger Hawkins	dr_hawkins_6573	12.0	"""Error maxime maiores distinctio: Perspiciatis explicabo ducimus eum beatae dolorum	 Voluptatum ullam"""
Mrs Lynn Cole	mrs_cole_4346	94.0	"""Incidunt maxime	 Sint veritatis porro quis Ad"""
Shaun Burgess	shaun_burgess_2359	64.0	"""Labore impedit quidem; Eius nulla 	 Tempore quo quidem omnis"""
Abdul Wood	abdul_wood_4071	83.0	"""Note: Aliquid	 then Laborum ab"""
e	damian_singh_5729	63.0	"""Note: Velit	 then Mollitia dolorem"""
Victoria Flynn	victoria_flynn_3599	13.0	"""Note: Odio eaque	 then Odit odit"""
Dr Guy Lowe	dr_lowe_7668	70.0	"""In error cupiditate in	 Debitis iure consectetur Eaque minus consequatur"""
Stanley Evans	stanley_evans_5291	30.0	"""Laboriosam quaerat quae occaecati; Dolore commodi laudantium quidem id iusto 	 Unde repellendus"""
Lydia Gibson	lydia_gibson_6835	1.0	"""Dicta enim: Nam rem pariatur reiciendis	 Fugit commodi"""
Mr Terry Bailey	mr_bailey_5237	73.0	"""Note: Ab dolores nostrum	 then Rerum dolores"""
Marion Holmes	marion_holmes_1244	96.0	"""Note: Omnis soluta voluptatibus iste iusto	 then Autem iste ea"""
Jason Evans	jason_evans_9275	22.0	"""Tenetur; Cum eum fuga ipsa 	 Eius repellat"""
Josh Anderson-Parry	josh_parry_7576	13.0	"""Dolor nobis: Nam	 Aut omnis odio"""
Tracey Barton-Young	tracey_young_7292	22.0	"""(Deleniti recusandae fugiat facilis officia corporis) 	 Dolorum ea nihil libero placeat and Facere maxime"""
Sheila Barrett	sheila_barrett_0569	39.0	"""Note: Blanditiis facilis necessitatibus fugit quos porro	 then Incidunt eos exercitationem quae"""
William Walker	william_walker_3950	32.0	"""(Molestiae sapiente) 	 Suscipit ullam quaerat praesentium aspernatur doloribus and Perspiciatis reiciendis"""
Kathryn Wood	kathryn_wood_8161	33.0	"""Accusantium ab ea hic; Dolores 	 Hic porro vitae nihil"""
Megan Stanley	megan_stanley_3040	32.0	"""Accusantium sit; Tempora 	 Expedita distinctio harum odio"""
Mr Arthur Brooks	mr_brooks_6018	42.0	"""Occaecati; Magnam 	 Animi nisi vero"""
Lorraine Saunders-Ahmed	lorraine_ahmed_2245		"""Autem; Ullam necessitatibus dolore 	 Praesentium repellendus quasi quaerat consequatur"""
