name,rating,price,age,summary,remark
Dawn Birch,19.0,37.1,52.2,"""(Quis optio similique quam ab placeat) , Ratione and Fugit voluptatibus vitae ex""","""Note: Nihil nesciunt, then Pariatur"""
Jade Newman,94.0,42.1,24.2,"""(Ratione error est laudantium commodi) , Dolore ratione quam laudantium and Aperiam praesentium suscipit deserunt unde praesentium""","""Quos rem omnis; Sed dolor , Cupiditate ratione"""
Mrs Lynne Woodward,94.0,81.1,28.2,"""Quisquam: Voluptas, Voluptas esse""","""Cumque eaque placeat; Culpa aliquid molestias dolorem , Non sit alias ducimus"""
Shirley Whitehead,38.0,82.1,66.2,"""Suscipit necessitatibus tenetur; Optio ex temporibus culpa , Numquam distinctio nesciunt voluptatem iusto quasi""","""(Ea nulla incidunt quibusdam) , Velit vitae and Veniam ullam"""
Andrea Phillips,41.0,61.1,24.2,"""Quos dicta; Sint illo fugiat maiores , Saepe""","""(Sint) , Alias and Odit magnam"""
Ruth Burke,23.0,32.1,9.2,"""(Repellendus quibusdam dignissimos) , Consectetur quasi ad and Ipsa magnam amet voluptas ratione""","""Cum animi explicabo repudiandae illum, Aperiam Dolor amet illo reiciendis"""
Ross Fletcher,13.0,69.1,99.2,"""Eaque facilis expedita, Beatae sed Deserunt nam magni""","""Et ab ratione quod, Natus earum amet Asperiores officiis impedit nam ab qui"""
Stewart Burton,62.0,91.1,100.2,"""Error ipsum explicabo officia; Vero provident , Ea incidunt""","""Note: Rerum, then Expedita"""
Julian Moore-Kennedy,19.0,26.1,38.2,"""Note: Voluptate voluptatum, then Sint dolor iste""","""(Earum praesentium) , Doloribus eius perferendis reiciendis and Tempore error ipsum"""
Ian Ford-Singh,21.0,15.1,55.2,"""Minus quas voluptatem: Quae unde, Magnam porro atque porro""","""Vel consequuntur non soluta: Vel, Eaque impedit dolorem harum aliquid ratione"""
Bruce Jenkins,96.0,73.1,50.2,"""Velit vel occaecati ullam sit eum: Dolorem aliquid autem aliquam atque, Quisquam""","""Fugiat delectus, Enim tempore quasi Totam aperiam nemo"""
Marie Pearson-Simpson,19.0,,,"""Minima quasi distinctio error rerum sunt; Tempore porro , Unde quidem tenetur ipsam hic""","""Harum; Distinctio nulla , Ipsum aliquid"""
Miss Olivia Walsh,45.0,5.1,3.2,"""(Vitae) , Deserunt possimus and Molestiae quaerat""","""Voluptates fugit, Adipisci officia provident molestiae Maiores"""
Dawn Wells,45.0,25.1,77.2,"""Dolores neque, Culpa Autem at mollitia""","""Note: Tenetur officia, then Ab nihil voluptate"""
