name,username,age,rating,score,comment
Carol Lloyd,carol_lloyd_3097,12.0,60.1,83.2,"""Note: Asperiores, then Eaque vero"""
Lydia Connolly,lydia_connolly_8988,64.0,11.1,24.2,"""Vero: Inventore occaecati illum, Eaque ea nulla corporis"""
Bradley Holloway,bradley_holloway_4707,9.0,89.1,36.2,"""(Rerum ullam) , Error praesentium assumenda and Doloremque excepturi porro modi"""
Ms Abigail Read,ms_read_9804,94.0,,98.2,"""Fuga cum reiciendis assumenda, Suscipit ipsam Quia sapiente beatae praesentium sed dicta"""
Dr David Johnson,dr_johnson_4612,31.0,88.1,36.2,"""Quis ipsum quos praesentium: Exercitationem laudantium totam adipisci, Necessitatibus"""
Dr Bernard Owen,dr_owen_4784,42.0,3.1,17.2,"""(Ea maiores) , Corrupti commodi and Doloribus placeat corrupti asperiores modi impedit"""
Mr Mark Jones,mr_jones_6655,40.0,81.1,77.2,"""(Debitis) , Facilis ad architecto porro magnam and Velit quidem"""
Sheila Bentley,sheila_bentley_9464,98.0,10.1,27.2,"""Omnis, Ratione quidem sapiente eligendi Aliquid delectus placeat nisi ratione"""
Mrs Louise Bartlett,mrs_bartlett_6935,20.0,88.1,77.2,"""Fugiat sint fugit consequatur fuga: Reprehenderit nobis sed, Voluptatem consequatur officia nobis ad"""
Eric Clarke-Sutton,eric_sutton_6898,67.0,69.1,50.2,"""Accusamus delectus maiores ab asperiores, Perspiciatis libero Ducimus qui"""
Dr Deborah Thompson,dr_thompson_8473,88.0,85.1,30.2,"""Quisquam itaque tenetur; Consectetur explicabo iure quod voluptate sapiente , Odio facilis"""
Brian Shaw,brian_shaw_2888,47.0,42.1,48.2,"""Voluptatum placeat quisquam accusamus, Modi itaque quia distinctio cum excepturi Animi"""
Dr Dylan Hunter,dr_hunter_4022,91.0,94.1,15.2,"""(Quisquam laudantium voluptas) , Atque and Autem velit neque iste nostrum fugit"""
Richard Kelly,richard_kelly_2485,39.0,66.1,4.2,"""Tempore optio; Iste illum iste maiores , Temporibus incidunt"""
Rachael Brown,rachael_brown_9093,42.0,89.1,57.2,"""In hic dolore, Quo deserunt hic Explicabo"""
Mandy Smith,mandy_smith_4299,44.0,37.1,40.2,"""Tempore suscipit: Fugiat tenetur, Iure"""
Miss Margaret Young,miss_young_3433,30.0,72.1,,"""Laborum unde eos molestias itaque; Ex officia nemo , Aliquid illo"""
Cheryl Norton,cheryl_norton_2885,21.0,11.1,52.2,"""Quisquam possimus eius cupiditate, Possimus corporis neque Quae possimus ab"""
