username;name;score;total_count;rating;message;description
dr_anderson_5200;Dr. Latoya Anderson;21.0;48.1;5.2;"""Pretty candidate pretty; Green Figure help real""";"""Part than hope generation; Project bill daughter Popular"""
richard_md_3717;Richard Merritt MD;3.0;59.1;32.2;"""Note: Wife ever; then Soldier direction policy wish establish""";"""Set fish: Pay report church; Student theory"""
amy_jenkins_5280;Amy Jenkins;61.0;99.1;94.2;"""Star partner light; Key above only ; Hit move""";"""Actually lead movement; Camera travel Machine cup along fill"""
christine_walker_7954;Christine Walker;22.0;75.1;93.2;"""Phone score pattern worry: Since; Fall maybe do commercial""";"""(Candidate vote call) ; Summer identify and Theory effect yard land"""
debra_rios_9735;Debra Rios;35.0;65.1;;"""Note: Against can; then What statement month house""";"""(Late) ; Detail and Successful peace"""
jessica_nolan_2917;Jessica Nolan;5.0;18.1;13.2;"""Matter leave; Special later no Night especially produce factor better""";"""Note: Building level time; then Score true"""
rebecca_hill_6524;Rebecca Hill;56.0;19.1;65.2;"""Animal else son major: Miss; Water law fine""";"""Note: Person Democrat always day; then First effect program process"""
nicholas_king_9121;Nicholas King;86.0;32.1;56.2;"""Travel protect; Power lose List bring""";"""(Impact make) ; Protect risk home happy and Worker world there community race"""
evan_walker_9035;Evan Walker;38.0;99.1;5.2;"""Radio interesting partner our; How road Mother third front operation""";"""(Section there series method) ; Clear avoid tough buy them and Manage pretty effect"""
megan_ho_5189;Megan Ho;34.0;46.1;19.2;"""Let wonder; Stand enough ; Debate style himself detail""";"""According few through himself offer; Involve ; Study break everything"""
william_russell_7848;William Russell;83.0;74.1;35.2;"""Station situation; Character cost suffer task ; Hit leader""";"""Piece activity six step; Partner keep Affect effect"""
brenda_walker_8126;Brenda Walker;17.0;74.1;52.2;"""Note: Huge why on; then Ability remember color star material""";"""Idea fish world: Cost food civil million; Hope since student none attack position"""
jane_carson_5001;Jane Carson;61.0;27.1;22.2;"""(Avoid among cause low better identify) ; Responsibility and Ready professor minute""";"""(Edge family) ; Fill sing power and Support"""
ricky_matthews_1686;Ricky Matthews;3.0;31.1;9.2;"""(Ever standard bill) ; Wonder take of treatment forward resource and Through rate""";"""Note: Positive instead song; then Father nothing"""
mr_webster_8255;Mr. Scott Webster;11.0;91.1;36.2;"""Friend blue; Beyond Authority perform drug""";"""Project early; Black kitchen probably mother At painting can these"""
brian_hernandez_1924;Brian Hernandez;50.0;88.1;68.2;"""Note: Six address involve center; then Born member commercial""";"""Note: Answer produce community; then Them generation"""
bernard_harvey_1395;Bernard Harvey;56.0;98.1;59.2;"""Note: Color war smile home; then Western series family""";"""Everybody must season inside into; Area buy ; Decide pretty bill candidate about"""
gina_montgomery_7910;Gina Montgomery;100.0;62.1;21.2;"""Note: Girl; then Save get can run view""";"""Anyone pay; North hotel it ; Spend specific"""
