# This is a comment line to skip
name	username	total_count	rating	summary	message
Alexander Fleming	alexander_fleming_9750	12.0	39.1	"""Contain order	 Page vote indeed drop station Cultural bad"""	"""Newspaper member return: Various	 General usually"""
Alexis Strickland MD	alexis_md_1308	80.0	94.1	"""Conference left: Various	 After through"""	"""White seat foreign thank treat	 Live Box to serious"""
Karen Fletcher	karen_fletcher_2364	2.0	55.1	"""(Yeah ability) 	 Along region and Body officer"""	"""(Morning break plant shoulder travel) 	 It discuss and Vote civil air"""
Lori Jackson	lori_jackson_5940	19.0	87.1	"""(Return language) 	 Career public kid find friend eye and They land we thus"""	"""Key authority; Less let 	 Specific different number gas"""
o	theresa_ramos_6248	25.0	69.1	"""(Mr movement detail class real range) 	 Course kind wonder state face and Travel try"""	"""Deal end hear; Choose professor father they miss 	 Structure"""
Catherine Garcia DVM	catherine_dvm_5921	95.0	1.1	"""Note: Happy heart hospital phone	 then Gas community similar act summer mean"""	"""Artist into per week: Develop her	 Take body eight source simple"""
Michael Heath	michael_heath_1458	28.0	55.1	"""Run	 Suggest marriage Dinner crime body"""	"""Note: Car get ball speech	 then Fast guy movement"""
Dwayne Mathis	dwayne_mathis_8277	88.0	74.1	"""Statement born; Ask decision type why author 	 As town often analysis"""	"""Born tell face information	 Somebody sister Nor wide job"""
Diana Allison DVM	diana_dvm_2937	13.0	46.1	"""For energy account arrive	 Particularly yes reduce Really"""	"""Rate on	 Officer mouth else Morning take control"""
Darrell Vazquez	darrell_vazquez_7069	41.0	7.1	"""Cut; Drop big star figure 	 Strategy add various indeed treat"""	"""Up response perform member	 Early its these face change entire Money worry indicate"""
Jonathan Palmer	jonathan_palmer_8561	30.0	18.1	"""Sound call peace pay: Analysis major	 Plan"""	"""Deep use strong: Think glass number	 Thousand future make positive drive"""
Mrs. Ashley Wood	mrs_wood_2448	34.0	61.1	"""(Too southern career) 	 Film fund local direction and Also especially director rule"""	"""Factor least feel while find; Pattern and help skin 	 Sometimes worry"""
Robert Mcintosh	robert_mcintosh_9199	52.0	36.1	"""Member trouble every wall black: Effort trade	 Collection represent attorney"""	"""Purpose speech system; Need hair drop 	 Kid listen quickly"""
Kathy Morris	kathy_morris_2342	82.0	93.1	"""(Full exactly center) 	 Both and Discover another"""	"""Note: Relate practice information science power	 then Staff"""
Paige Sanders	paige_sanders_2903	69.0	72.1	"""Represent prepare should cold career	 Reality rule Line try"""	"""Traditional statement similar; Country door wrong past something 	 For discuss"""
Dr. Jennifer Mueller	dr_mueller_5556	28.0	27.1	"""Note: Rich	 then Building risk prevent"""	"""Necessary our too peace medical	 They while Hard official instead"""
Laura Baker	laura_baker_8782	10.0	71.1	"""(Store send) 	 Station institution forget and Audience detail economic"""	"""Reduce car mission trade glass: Wind	 Medical move two kind"""
Wayne Avila	wayne_avila_8031	32.0	24.1	"""Note: Bank force reduce	 then Stop seat about"""	"""Media budget: Mission	 Serve chance blood check between"""
