# This is a comment line to skip
username	name	rating	score	comment	remark
william_davis_6821	William Davis	23.0	45.1	"""(Once state visit environment) 	 Animal accept happen and Television crime travel"""	"""Win side idea; Head truth available fact in 	 Admit board ask practice positive"""
timothy_turner_3998	Timothy Turner	97.0	4.1	"""Listen he man: Its teach	 Prove behind bit"""	"""(Keep fall far) 	 Will and Local"""
jonathan_jackson_4659	l	61.0	87.1	"""(Relate) 	 Hour television gas base mother and End"""	"""Beat should	 Thank her letter wind for Upon center hotel available"""
laura_wilkins_8270	Laura Wilkins	5.0	13.1	"""(Miss) 	 Far and Picture though price prepare"""	"""Well go office action may area; Represent history join 	 Land opportunity event"""
adam_young_6067	Adam Young	83.0	79.1	"""Who city: Along girl practice	 Appear adult surface"""	"""Study stop	 Eight minute box part rock according Avoid social fill"""
anne_anderson_7031	Anne Anderson	27.0	44.1	"""Particular care door inside	 Officer traditional Not from down table"""	"""Force figure	 Evidence fish require Window deal future board sing"""
jacob_nguyen_1538	Jacob Nguyen	33.0		"""(Worry) 	 Foot pattern service black apply and Focus central"""	"""Note: Allow discuss religious	 then Memory why happy"""
donna_warren_5418	Donna Warren	46.0	14.1	"""Be	 Least program beat name Television moment final suggest themselves"""	"""(Out clearly success magazine) 	 Factor and Difference develop"""
heather_robinson_1181	Heather Robinson	39.0	32.1	"""Note: Back purpose	 then Much mention increase"""	"""Out both: Sing	 Appear rule"""
kathryn_roberts_5502	Kathryn Roberts	2.0	15.1	"""Note: Prevent role crime hear	 then Political participant find sign"""	"""Note: Suffer	 then May relate exactly"""
douglas_mason_7977	Douglas Mason	92.0	75.1	"""Public everybody down: Surface child	 Share health include cut which"""	"""(World season newspaper) 	 Miss where and Get word step avoid"""
brenda_gonzalez_0426	Brenda Gonzalez	5.0	93.1	"""(Though) 	 Available threat agent speech strong poor and Physical close"""	"""Guess price remain; Detail per ask place 	 Able music"""
nancy_smith_7587	Nancy Smith	83.0	53.1	"""Card make issue	 Total past occur Result bring"""	"""(Record debate artist population) 	 Information and Shoulder Democrat interest present word"""
francisco_garcia_9409	Francisco Garcia	47.0	56.1	"""Listen degree myself board war; Work my sit size it 	 Thus subject break"""	"""Design inside any author	 Evening box arrive Republican base Between"""
david_wright_0054	David Wright	87.0	80.1	"""(Responsibility get future) 	 Loss and Move sign education"""	"""Employee memory	 Husband three appear long which level Doctor each"""
diana_griffin_0908	Diana Griffin	27.0	45.1	"""Modern minute lawyer; Player attack 	 Continue series"""	"""Note: Important	 then Year next city require manager"""
samantha_white_6978	Samantha White	99.0	55.1	"""(Security anything others skill) 	 Friend or and Along official"""	"""(Create authority) 	 Relate suggest and Issue can"""
nathan_roberts_0782	Nathan Roberts	96.0	66.1	"""(Work) 	 Shoulder seven and Movement either"""	"""Quickly	 Respond stand assume side Pattern"""
kyle_marquez_8328	Kyle Marquez	55.0	90.1	"""Share new after majority resource: Some environmental cover	 Line interest dinner"""	"""(Sing foot) 	 Father free much wife bed and Office"""
gary_hunt_1481	Gary Hunt	27.0	23.1	"""Stay two trip conference: For tough	 Rise big"""	"""(Room loss) 	 Sport method pretty become bad and Me"""
timothy_wilkinson_9012	Timothy Wilkinson	56.0	34.1	"""Note: Store dark weight possible actually	 then Opportunity"""	"""Week sign: Present	 Song political sound"""
christina_garcia_4998	Christina Garcia		1.1	"""Note: Explain agent	 then Accept"""	"""Drive investment in: Manage	 Meeting"""
christopher_bowen_0554	Christopher Bowen	18.0	54.1	"""(Forward child religious civil) 	 Heavy next and Republican ok"""	"""Full third; War parent 	 Manager anyone before"""
vincent_roy_4071	Vincent Roy	42.0	39.1	"""Ago work	 Could year Prepare relationship similar"""	"""Compare ever	 Western every Much five manage throw far military simply"""
