username,name,salary,price,comment,message
paula_harvey_2714,Paula Williams-Harvey,41.0,83.1,"""Note: Nihil ut, then Omnis""","""Deserunt voluptas sequi nostrum at: Asperiores, Molestiae qui laudantium"""
bethan_mcdonald_2585,Bethan McDonald,57.0,15.1,"""(Maxime animi quidem) , Ab ab consequatur saepe and Tempore nobis""","""(Consequuntur officiis iste) , Nisi aperiam totam neque asperiores and Quam veniam"""
anne_harris_3202,Anne Harris,8.0,47.1,"""(Autem distinctio repellat quam) , In aut and Repellat qui ducimus sequi voluptatum repellat""","""(Quos tempore error minus harum dicta) , Neque dignissimos and Voluptate cumque id sequi exercitationem"""
kayleigh_spencer_6180,Kayleigh Spencer,50.0,60.1,"""Quasi; Repudiandae soluta , Dolores explicabo commodi doloribus harum eos""","""Atque debitis; Distinctio necessitatibus ullam voluptate , Quis quos unde"""
annette_peters_5785,Annette Howard-Peters,23.0,76.1,"""Note: Porro cupiditate, then Neque modi""","""Ipsa vero corporis, Aut Accusantium animi"""
chloe_yates_9555,Chloe Yates,68.0,33.1,"""Note: Eligendi commodi, then Inventore""","""Illo provident est; Tempore quis molestias neque at , Voluptates"""
gary_davies_9891,Gary Davies,90.0,99.1,"""(Temporibus) , Natus cupiditate quod eos and Quae inventore""","""Quas qui, Cum rem Expedita soluta nam"""
mr_hall_5493,Mr Paul Hall,63.0,17.1,"""Tenetur quos laboriosam suscipit, Architecto repellat tempora nemo Dolorem laborum porro""","""(Pariatur modi consectetur deserunt ad) , Eos and Quos"""
ms_barnes_2236,Ms Naomi Barnes,81.0,10.1,"""Sequi accusamus cupiditate earum: Nesciunt similique, Ut itaque repellat""","""Cum atque ut: Consequuntur, Ut sequi"""
mr_harris_7638,Mr Ricky Harris,88.0,95.1,"""Saepe nobis: Incidunt alias asperiores, Unde""","""Libero exercitationem, Ab voluptates aliquid hic ut necessitatibus Esse animi"""
olivia_manning_2874,Olivia Manning,41.0,14.1,"""Recusandae id fuga, Blanditiis consequatur Impedit ratione commodi laudantium""","""Nihil nobis aspernatur: Possimus dolorum harum sunt nobis, Adipisci quasi quod placeat ad et"""
mr_butler_6691,Mr Peter Butler,73.0,39.1,"""Harum tempore esse; Aliquam eveniet mollitia qui neque illo , Possimus""","""Minus tempore, Dolorum laborum a Vero atque"""
abdul_flynn_2081,Abdul French-Flynn,89.0,12.1,"""Note: Expedita, then Vel veniam saepe""","""Vel nemo; Assumenda dolorem iste hic , Exercitationem distinctio"""
mr_gibbs_6668,Mr Clive Gibbs,64.0,78.1,"""Note: Nemo nesciunt, then Occaecati eveniet""","""Ipsam ut rerum, Nihil natus maiores Assumenda cumque"""
mr_allen_4465,Mr Lawrence Allen,80.0,70.1,"""(Consectetur maxime sapiente laudantium) , Veritatis libero and Tempora""","""(Vero harum earum) , Libero and Doloribus ut unde veniam"""
megan_newman_7724,Megan Newman,65.0,1.1,"""Atque distinctio iusto mollitia: Occaecati necessitatibus laudantium, Non magnam vero""","""Rem perspiciatis odit, Dolores Ut quaerat veritatis"""
jane_wheeler_3642,Jane Wheeler,95.0,38.1,"""Ducimus libero: Voluptate, Iure harum veniam repellat""","""Aliquam modi dicta, Doloremque enim quod sed Quo"""
hannah_woods_1842,D,45.0,81.1,"""Placeat perferendis illo ratione molestias ea; Debitis , Voluptate adipisci voluptas dolore""","""Ex repellat; Magni provident , Aliquid dolore"""
