username	salary	message	comment
kenneth_burke_7768	33.0	"""Natus temporibus tempora; Doloribus consequuntur necessitatibus 	 Laudantium quos doloribus assumenda dolorem"""	"""(Nemo commodi neque error) 	 Vel expedita velit modi voluptates and Facilis eos dolore tempore"""
jake_lee_4167	69.0	"""At quisquam; Consectetur explicabo temporibus corporis 	 Numquam rerum"""	"""Note: Illo quod	 then Assumenda"""
trevor_long_6336	80.0	"""Temporibus temporibus	 Laboriosam Beatae laudantium officiis"""	"""Voluptate quos provident tempora deleniti	 Veniam nihil facilis quas Qui architecto"""
dr_gibbs_9755		"""Rerum a	 Ipsum similique molestias aliquid Dolorum"""	"""Itaque quis eaque blanditiis adipisci; Porro vel vero 	 Accusamus"""
mohammed_sinclair_1505	4.0	"""Ad rerum delectus amet dolores	 Corrupti Officiis voluptatum soluta aliquam harum"""	"""Note: Voluptatum esse illo	 then Rem quidem autem reiciendis quia placeat"""
lucy_jones_8071	76.0	"""Omnis perferendis maxime tempore incidunt sit: Quaerat accusamus porro	 Saepe perferendis odit harum autem"""	"""(Et aliquam consequatur) 	 Laborum and Deserunt earum temporibus reiciendis veniam"""
dr_patel_9770	55.0	"""Dolorum quod: Fugit accusamus temporibus tempore	 Eveniet ipsam doloremque perspiciatis commodi"""	"""Veniam natus: Quaerat odit	 Aliquam aliquam omnis exercitationem"""
charles_owen_1582	84.0	"""(Consequatur dolores ducimus fugiat neque) 	 Porro and Impedit nam minus"""	"""(Alias consectetur vitae quasi) 	 Fuga eos and Ducimus error sint"""
leslie_spencer_9828	99.0	"""Vero illo nulla explicabo sed: Quia placeat ipsam	 Deserunt temporibus illum"""	"""Quod hic debitis cupiditate maiores	 Perspiciatis facere est Laborum debitis dolor esse"""
kathryn_cooper_6284	93.0	"""Sint debitis	 Tempora velit quaerat fugit ad alias Itaque porro"""	"""(Rerum) 	 Sed fugit illo and Magni incidunt et amet"""
mr_howard_8804	100.0	"""Ex modi tenetur; Nesciunt quae itaque 	 Quam consectetur atque"""	"""Voluptas maiores; Quia occaecati 	 Quos nam error laborum nihil"""
duncan_ahmed_7331	67.0	"""Rem: Accusamus voluptatem saepe	 Aliquam est explicabo"""	"""Tempora quasi optio laudantium suscipit	 Nulla doloribus sed Odio"""
bernard_stone_1208	99.0	"""(Eaque illo suscipit at placeat) 	 Iusto error and Officiis aliquam enim"""	"""Veritatis; Cum 	 Amet saepe"""
dr_walsh_0319	23.0	"""Note: Doloremque quia impedit perspiciatis debitis	 then Odit tempore"""	"""Delectus dignissimos nostrum; Ipsum quod quibusdam dolor 	 Quia aliquid cum sit"""
ronald_owen_0396	2.0	"""Iste sunt; Natus magni possimus veritatis quasi maiores 	 Quos a dolorum dolores"""	"""Note: Debitis tempore ab asperiores	 then Placeat molestias"""
dr_richards_9734	43.0	"""Note: Nisi ad	 then Quaerat alias minus maxime"""	"""Molestiae accusamus in et laudantium rerum: Pariatur omnis doloribus	 Odio quibusdam"""
