# This is a comment line to skip
username,salary,total_count,price,message
benjamin_roberts_3319,,22.1,13.2,'''Note: Maiores fugit quos magnam, then Blanditiis nulla modi id'''
mr_roberts_4876,43.0,32.1,13.2,'''(Atque) , Ad ut and Sit'''
katie_dawson_4594,86.0,25.1,94.2,'''Note: Occaecati voluptatum fuga vero at ipsum, then Cumque vitae'''
ms_martin_0944,13.0,99.1,76.2,'''(Est eius esse sed dicta) , Placeat porro natus officia and Sapiente sit possimus cum pariatur quibusdam'''
mr_burgess_3759,52.0,5.1,,'''Quaerat adipisci; Dignissimos sapiente , Vel beatae amet nulla'''
amber_carter_9876,74.0,58.1,66.2,'''Note: Porro voluptates, then Minus molestias'''
elliott_watts_3373,66.0,98.1,34.2,'''(Nostrum facilis in blanditiis) , Vel vero atque and Occaecati cumque dolorem eligendi'''
dylan_harris_0134,36.0,15.1,35.2,'''(Occaecati impedit ratione) , Iure and Omnis itaque'''
georgia_harrison_0585,80.0,89.1,41.2,'''Officia atque, Fugit Similique ipsum distinctio'''
rosemary_banks_6678,61.0,,97.2,'''(Ipsa) , Tempore maxime pariatur aperiam doloremque and Corrupti ullam quia perferendis commodi'''
marie_bennett_9566,64.0,43.1,8.2,'''Note: Quod voluptatem, then Voluptatum quisquam quidem deleniti'''
samuel_bartlett_0947,60.0,96.1,1.2,'''Note: Ipsa quasi, then Odit voluptatum iusto nostrum'''
shannon_bell_6517,54.0,94.1,84.2,'''Tempore ipsa veniam, Eligendi labore et Et accusamus'''
derek_baker_9070,80.0,11.1,34.2,'''Vitae dolorum: Recusandae aut ratione, Reprehenderit beatae est quia doloribus voluptate'''
julie_turner_2452,87.0,98.1,93.2,'''Totam: Vitae reprehenderit recusandae pariatur iure explicabo, Nobis saepe'''
mr_roberts_6149,22.0,46.1,48.2,'''Expedita sit explicabo reiciendis porro laudantium, Quos consequuntur reiciendis Suscipit amet necessitatibus deserunt'''
jemma_rowe_2039,54.0,46.1,84.2,'''Note: Soluta accusamus occaecati est, then Sapiente iure delectus culpa'''
nicola_roberts_1092,59.0,32.1,57.2,'''Odio maiores velit illo; Quod suscipit harum , Odit'''
