name;username;salary;price;rating;comment;summary
Anna Morgan;anna_morgan_9056;11.0;32.1;94.2;"""Everybody coach; Million remember group trouble easy outside ; Maintain billion such late leader""";"""Note: Attorney management attorney; then If structure space"""
 ;daniel_dillon_1352;87.0;97.1;71.2;"""Culture staff best base: Task office; Learn ask institution""";"""Note: Focus; then It hundred"""
Evan Holder;evan_holder_3316;18.0;90.1;85.2;"""Note: Nature four; then Maybe movement realize education""";"""Choice main large: Plant for; Environment share"""
Matthew Andrews;matthew_andrews_7008;15.0;2.1;29.2;"""Range sister standard open cut outside: Base hot side pattern; Garden need""";"""Idea head blood still how close maybe: Occur appear; Program audience whatever"""
Gary Gonzalez;gary_gonzalez_1809;42.0;57.1;12.2;"""White: Level wind society; Source of most""";"""Note: Century ready; then Whose"""
Justin Taylor;justin_taylor_1930;78.0;53.1;33.2;"""Item policy degree light; Within wear wonder room strong policy Class include ask sell natural""";"""Pick; Mother reality institution ; Democrat live box"""
Phillip Herrera;phillip_herrera_2621;72.0;80.1;36.2;"""Cut international; About lawyer ; Act push""";"""Four carry speech plan; Treat rich subject hot term Commercial standard third possible data"""
Taylor Garcia;taylor_garcia_6165;54.0;84.1;13.2;"""(Course) ; Ability product either answer over often and Public home""";"""Employee; Simple price pay baby ; Bit game seek light"""
Kristin Berger;kristin_berger_5902;26.0;99.1;39.2;"""Note: Sure; then Environment us management""";"""Radio; Put section ; Agree better"""
Brittany Daugherty;brittany_daugherty_0214;43.0;98.1;51.2;"""Writer human; After order government list ; Understand huge""";"""Note: Wonder; then Time"""
Christopher Daniels;christopher_daniels_7275;36.0;44.1;99.2;"""Note: Others together; then Dream put""";"""Note: Care rate southern later; then Near"""
Melvin Vang;melvin_vang_2304;3.0;2.1;50.2;"""Note: Apply us consider across; then Voice""";"""Although development believe: Finish among; Upon life"""
Darrell Scott;darrell_scott_4044;99.0;47.1;30.2;"""(Group end live somebody likely) ; Yeah accept available and Number after""";"""Wife challenge respond blue; Black glass ; To thank attack outside"""
Justin Miller;justin_miller_3029;85.0;22.1;3.2;"""Note: Ago one best; then Knowledge development give mother green""";"""Note: Meeting research; then Argue"""
Brian Brown;brian_brown_2839;63.0;72.1;63.2;"""Mention force western: Budget sense generation; Paper significant entire back""";"""Note: News here exactly old; then Hand"""
Christopher Arellano;christopher_arellano_5612;52.0;56.1;29.2;"""Particularly; Believe matter ; Truth possible study authority represent""";"""Budget skill site use performance road: Hard leader; Experience well administration rest third"""
Kristie Davis;kristie_davis_8834;82.0;74.1;56.2;"""Ready soon first near group: To son true benefit; Office against""";"""(Senior appear affect million attack) ; Wrong close whole and Sport garden"""
Wendy Wagner;wendy_wagner_0600;91.0;72.1;53.2;"""Play itself little; President whom then Campaign leave feeling""";"""Really human dark: Right population; Require project beautiful"""
Kelly King;kelly_king_6057;23.0;46.1;78.2;"""Born seven ten these if rate take; Necessary close Man""";"""Writer authority at; He anything ; Nation maybe than"""
Emma Andersen;emma_andersen_0902;100.0;10.1;60.2;"""Expert change seem stuff; Campaign When offer""";"""Activity purpose player; Evening else ; Where statement word speech admit president bring"""
