# This is a comment line to skip
name,username,score,age,price,comment
June Mitchell,june_mitchell_6876,59.0,2.1,17.2,"""Cum atque aperiam, Beatae enim Ipsam aperiam"""
Sandra Reid,sandra_reid_9988,75.0,,39.2,"""Sint magni deleniti corporis perspiciatis: Nostrum est, Voluptatibus eos dolorem"""
Jade Lowe,jade_lowe_4485,38.0,73.1,95.2,"""Repellat voluptatibus eligendi; Fuga illum deleniti maxime , Nisi corrupti porro"""
Tony Moore,tony_moore_8532,31.0,48.1,47.2,"""Note: Consectetur iure optio ex, then Minus quisquam exercitationem"""
Jodie Parkinson,jodie_parkinson_9209,93.0,83.1,,"""Error praesentium consequatur dignissimos corrupti: Cupiditate vero laborum tenetur, Rem pariatur est"""
Graeme Patel,graeme_patel_0937,48.0,71.1,98.2,"""(Doloremque nulla nulla) , Ad tempora eum quaerat odit quam and Adipisci totam fugiat minus impedit"""
Marion O'Neill,marion_neill_5514,88.0,2.1,49.2,"""Repellat temporibus, Dolores doloremque facilis eos explicabo Error cupiditate unde sapiente"""
Ms Tracey Robertson,ms_robertson_3538,64.0,97.1,60.2,"""Nisi occaecati dolorum: Mollitia omnis rerum facilis eaque, Eligendi quas temporibus vitae eos"""
John Dunn-Manning,john_manning_2254,67.0,90.1,54.2,"""Voluptates consectetur cum eius eveniet, Voluptatem fuga Corporis amet tenetur ipsam"""
Abbie Hurst,abbie_hurst_2472,70.0,14.1,98.2,"""Maiores optio officia pariatur: Corrupti hic, Expedita voluptatum alias exercitationem"""
Abdul Davies,abdul_davies_2203,47.0,24.1,64.2,"""(Necessitatibus) , Odio numquam and Cumque soluta"""
Elliot Rice,elliot_rice_1395,3.0,16.1,2.2,"""Reiciendis doloribus a doloribus: Explicabo asperiores recusandae, Dicta minima neque"""
Lorraine Mellor,lorraine_mellor_8722,43.0,87.1,67.2,"""(Vel laudantium at) , Ipsa aut doloremque quasi and Beatae deserunt nisi"""
