# This is a comment line to skip
username,name,rating,total_count,price,note,review
rachel_gillespie_0220,Rachel Gillespie,15.0,6.1,52.2,"""Class range; Explain then radio road , Station goal wind lot""","""Note: Together Congress style population tend, then Lot fight"""
david_smith_2944,David Smith,59.0,29.1,38.2,"""Player speech, Quickly Tv""","""Certainly economy, Trouble yet five force half party Major half"""
timothy_cole_0709,Timothy Cole,72.0,52.1,29.2,"""Floor pattern can spend; Chance raise office , Man down""","""(Company side my several) , Technology traditional small and Respond carry recent"""
christopher_sanchez_8674,Christopher Sanchez,20.0,58.1,70.2,"""Note: Notice they ask, then Economic hospital consumer""","""(Institution growth camera blue) , During answer ever even enter and Assume those grow listen"""
madison_martinez_4671,Madison Martinez,33.0,87.1,20.2,"""Travel machine bring; Black pattern many , Radio rock not subject end sport""","""Radio civil sing card threat: Else somebody another, Story trouble"""
elizabeth_russell_7758,Elizabeth Russell,31.0,15.1,90.2,"""Nation other artist buy purpose; Blood so , Surface morning""","""Note: Peace last cup, then Prove notice use reflect"""
wendy_garcia_6366,Wendy Garcia,90.0,35.1,93.2,"""Call pressure; Ahead pattern , Property newspaper executive late task""","""Forward attorney: Care forget difficult various, Tv score"""
ashley_best_7209,Ashley Best,19.0,24.1,64.2,"""(There notice federal up) , Seem guess save and Tv""","""Note: Cut idea still, then Use notice thank"""
kara_cunningham_3166,Kara Cunningham,69.0,97.1,5.2,"""Note: Military, then Over fund TV campaign themselves""","""Laugh force happy peace, Buy together he fear western chair Black spring"""
fred_thompson_7858,Fred Thompson,93.0,42.1,33.2,"""Difficult read drug: Knowledge customer understand, Speak management""","""Ability prevent similar, In Like shoulder against east"""
dean_watson_8252,Dean Watson,91.0,74.1,46.2,"""Trouble relationship, Commercial factor heart machine Down our drop imagine""","""(Century wonder fact couple simple) , Term camera and Indeed"""
andrew_brown_4843,Andrew Brown,57.0,83.1,5.2,"""Watch level raise, World nor learn condition Behind""","""How, Professor draw whatever stage Simply guess"""
joseph_ryan_4023,Joseph Ryan,68.0,85.1,97.2,"""Seat; Address figure character , Particularly beautiful fast""","""Might: Next, Buy"""
brittany_bowman_2639,Brittany Bowman,72.0,42.1,51.2,"""Already ahead find American, Relationship Policy woman""","""(Point TV) , Tree find and Former film question business laugh red"""
karen_peterson_3962,Karen Peterson,30.0,100.1,99.2,"""Value western toward: Free quite determine until, Minute music boy past very research""","""(Ability heart pressure) , Name attorney media career and They more today also"""
natalie_smith_1324,Natalie Smith,56.0,96.1,3.2,"""Rest approach sing others still knowledge; Partner company , Land give become none figure anything""","""(Grow trade guy though simply between) , Power result administration little yeah and Will chair decide"""
andrew_jensen_9600,l,72.0,1.1,45.2,"""Note: Wait, then And present""","""Writer statement strategy carry: Eight friend present, Talk art keep"""
cody_wilson_8560,Cody Wilson,59.0,73.1,52.2,"""Address: Laugh push, Fund marriage final""","""Bring adult special: Several body full wide wait edge, Speech show room wrong"""
laurie_anderson_4898,Laurie Anderson,11.0,65.1,44.2,"""Note: Sense hour, then Surface ok year""","""Note: Bad believe tree report assume somebody, then So big perform protect"""
april_contreras_0110,April Contreras,79.0,65.1,22.2,"""Gun move: Something similar page among, I represent form ground""","""(Door why draw society) , Impact discussion remember and Side cause eight"""
tamara_aguilar_4672,Tamara Aguilar,73.0,80.1,3.2,"""(Within difference over) , Amount and Under information instead use participant human""","""(Test require until suggest fly decade) , Everyone child choice and Instead"""
elizabeth_guerrero_5214,Elizabeth Guerrero,,85.1,4.2,"""Note: Strong return miss local into, then Wish establish write nature fall along might""","""Note: Fire TV TV possible window, then Save respond administration few letter chance"""
karen_wilson_5490,Karen Wilson,82.0,38.1,30.2,"""(His be bill call) , Letter have and Ready prevent and""","""(Course loss) , Can save laugh choose and Court establish"""
scott_gomez_2533,Scott Gomez,66.0,8.1,46.2,"""Use time; Never reason , Guess ground""","""Today whose better; Pretty that history , Yeah moment"""
rebecca_williams_4116,Rebecca Williams,5.0,16.1,46.2,"""Effort: Instead high myself, Check reach clearly car""","""Note: Wait name blood theory determine, then Address itself"""
sean_rivera_9220,Sean Rivera,22.0,35.1,51.2,"""(Stock box action risk remember business) , Country rock and Himself sea""","""Building sense oil nice: Choice behind wide, Bring"""
dr_carr_3686,Dr. Judith Carr,2.0,70.1,41.2,"""Mother author; Various call clearly because man keep , Easy understand much exactly boy there""","""Note: Everything rich seem whole economy, then Responsibility window"""
james_romero_8530,James Romero,35.0,56.1,67.2,"""Bar black save school how: Full door wonder, Shake fly""","""Perhaps painting another population determine, Couple require idea lot Both figure yeah"""
rhonda_davis_0075,Rhonda Davis,21.0,11.1,5.2,"""Feeling move pay; From college , Apply show""","""Among all international; Care growth , Stand miss establish"""
crystal_spencer_9345,Crystal Spencer,25.0,,69.2,"""Improve return: Recognize outside, Authority sense""","""Adult need, Scene recent bar Protect site spring behind"""
