username,name,price,age,total_count,remark,description
william_lee_8043,William Lee,99.0,3.1,77.2,"""Facere molestias reiciendis occaecati, Laborum occaecati itaque odit in quas Aperiam id tempora""","""Note: Voluptate quisquam reprehenderit exercitationem non, then Dicta"""
kathryn_harris_3882,Kathryn Harris,62.0,24.1,87.2,"""(Occaecati dolore) , Repellendus at and Similique corrupti distinctio""","""Note: Animi minus, then Hic quas"""
elizabeth_campbell_7574,Elizabeth Campbell,22.0,30.1,12.2,"""Soluta nam officia: Vel itaque rem voluptatem deserunt, Pariatur reprehenderit""","""Qui commodi, Voluptate sunt tempora Delectus occaecati"""
adrian_ellis_1055,Adrian Ellis,29.0,6.1,2.2,"""Sit accusantium: Esse laborum hic, Quam sint quaerat libero""","""Blanditiis optio laudantium; Quae , Perspiciatis quaerat magni id odio voluptate"""
miss_morris_3667,Miss Chelsea Morris,42.0,78.1,97.2,"""Quaerat possimus, Eligendi ut Delectus eaque""","""Occaecati aperiam; Ipsa , Beatae harum delectus"""
lindsey_cross_6523,Lindsey Kaur-Cross,20.0,4.1,51.2,"""Repellendus labore voluptatum rem pariatur ut, Fugiat minima incidunt eos voluptatem amet Error""","""Maxime magnam; Totam , Provident debitis"""
dr_wood_9043,Dr Harry Wood,10.0,12.1,23.2,"""(Aspernatur officiis possimus minima laborum) , Quibusdam and Tempora temporibus fugiat""","""Quas veritatis, Eum in molestiae Error"""
dr_oliver_0156,Dr Jill Oliver,71.0,,11.2,"""A voluptatibus inventore qui quasi: Repudiandae perferendis est voluptatem, Labore adipisci""","""Ipsam ad molestiae enim dolor: Placeat recusandae, Eaque rerum"""
mr_richardson_9710,Mr Gavin Richardson,59.0,24.1,20.2,"""(Ipsa) , Magnam consectetur and Nisi praesentium tempora vero""","""Nostrum aliquam: Culpa modi qui sapiente officia autem, Impedit architecto expedita ducimus nihil possimus"""
mr_price_3534,Mr Lee Price,99.0,98.1,19.2,"""Deleniti cum, Consequuntur repudiandae adipisci nobis dolorum Reiciendis labore explicabo nisi doloremque""","""(Ut eveniet sed nihil) , Maxime iste consectetur temporibus perspiciatis and Quam impedit"""
miss_wood_1437,Miss Tracy Wood,2.0,9.1,51.2,"""Expedita dolore quo, Culpa nulla molestiae eum iste cupiditate Earum vitae""","""Officiis; Rerum mollitia , Dolores enim"""
geraldine_wilson_6357,Geraldine Wilson,17.0,83.1,57.2,"""Note: Voluptatibus, then Molestias repellendus nobis optio modi totam""","""Eos quasi commodi: Dolorem impedit, Molestiae inventore nesciunt"""
kenneth_jenkins_2173,Kenneth Jenkins,30.0,54.1,98.2,"""Vero voluptates, Minima enim Similique magni""","""Aperiam quos: Quos natus in, Autem deleniti asperiores aspernatur vitae"""
jane_payne_7136,Jane Payne,38.0,56.1,61.2,"""Corporis, Animi nisi voluptatibus fugit accusantium modi Fugit""","""(Laboriosam iure similique cupiditate porro quidem) , Omnis dolorem laborum aspernatur commodi animi and Corporis dolor nam sint aliquam"""
lorraine_clements_1961,Lorraine Coleman-Clements,75.0,81.1,13.2,"""Illum, Dignissimos Molestiae perspiciatis""","""Architecto eaque: Enim ad, Sed accusamus veniam ut repudiandae"""
dr_allen_2057,Dr Marc Allen,27.0,97.1,99.2,"""Impedit minima impedit culpa: Quia vel labore quod, Eos rerum nihil id tenetur""","""(Perferendis facere) , Dolorum beatae eius quia and Iste aut est"""
deborah_moore_9249,Deborah Robinson-Moore,37.0,39.1,8.2,"""Sequi; Enim , Dolorem tenetur vel""","""(Dolore eius) , Vitae porro veritatis and Quisquam deleniti possimus"""
christopher_hewitt_0515,Christopher Hewitt,2.0,9.1,34.2,"""Note: Error sapiente corporis iste, then Nisi incidunt reiciendis""","""Pariatur corporis odio ipsum; Nihil debitis , Nisi"""
luke_thomas_9045,Luke Thomas,93.0,32.1,41.2,"""Saepe soluta: Aliquam deleniti, Autem delectus""","""Fugit iure; Sed , Optio consequatur quidem"""
mrs_white_3833,Mrs Leah White,87.0,30.1,75.2,"""Soluta atque: Dolorem provident debitis eius, Laboriosam dignissimos sint esse modi""","""Aperiam et: Occaecati quibusdam amet, Dolores amet ullam earum perspiciatis"""
mr_smith_7689,Mr Clive Smith,85.0,6.1,22.2,"""Nesciunt deleniti: Eius voluptates inventore itaque iste, Adipisci doloremque perferendis fugit aperiam""","""Nostrum ex; Ut , Accusamus molestiae dolorem doloribus"""
christine_johnson_8842,x,18.0,48.1,33.2,"""Note: Libero harum, then Earum""","""(Corporis nesciunt ducimus sapiente velit unde) , Repellat and Quam inventore"""
mark_barker_3223,Mark Barker,85.0,72.1,72.2,"""Rerum veniam; Animi suscipit labore , Molestias""","""Laborum fuga, Dolores sint Consequatur cum eius earum aliquid"""
susan_moran_4974,Susan Moran,12.0,4.1,58.2,"""(Rem debitis hic animi aperiam) , Explicabo tempore ex voluptas porro and Repellat""","""Voluptate temporibus, Cupiditate Explicabo animi nesciunt"""
dr_foster_0573,Dr Janice Foster,24.0,28.1,94.2,"""Note: Provident eaque, then Impedit""","""Provident illum occaecati nemo eius; Cupiditate doloremque , Fugiat voluptatibus veniam"""
dr_duncan_1614,Dr Marc Duncan,25.0,34.1,32.2,"""(Deserunt) , Consequatur aut soluta recusandae and Quia ab quam animi""","""Error nulla ducimus aspernatur minus, Fugit officiis animi soluta Id voluptatem sequi"""
dr_griffiths_4388,Dr Oliver Griffiths,93.0,43.1,52.2,"""(Eius incidunt facere asperiores ut) , Non cum repellendus asperiores ipsum and Odio iure adipisci""","""Ipsa soluta ab: Harum maiores magnam occaecati ullam, Dolore sed iusto"""
denise_ali_4869,Denise Ali,2.0,59.1,62.2,"""Voluptate necessitatibus: Amet, Vitae explicabo voluptates""","""Culpa: Tempore dicta dignissimos deleniti nam, Distinctio quam aspernatur quia atque excepturi"""
dylan_wood_5289,Dylan Wood,72.0,97.1,11.2,"""Nesciunt consequuntur quo odit, Perspiciatis doloremque Aperiam""","""Note: Praesentium possimus necessitatibus, then Tempora libero"""
ann_edwards_7464,Ann Edwards,79.0,55.1,40.2,"""Nostrum earum; Sunt sed quasi omnis , Commodi vitae ducimus""","""Note: Vero odio totam asperiores, then Aliquam ex"""
mr_howe_4857,Mr Martin Howe,86.0,88.1,2.2,"""Note: Doloribus et, then Perspiciatis consequatur natus""","""(Exercitationem voluptates autem necessitatibus voluptas) , Dolore nam and Reprehenderit excepturi dolorem explicabo praesentium qui"""
sandra_dean_2594,Sandra Dean,13.0,75.1,42.2,"""Expedita tempore natus consectetur; Exercitationem omnis sapiente sequi porro , Similique""","""(Voluptatum illo numquam) , Laborum voluptate qui excepturi provident and Rerum"""
jamie_parry_3543,Jamie Parry,78.0,26.1,20.2,"""Ea voluptas quam: Fuga adipisci, Veniam adipisci nisi quidem""","""Reiciendis eos adipisci; Est earum architecto , Vero qui incidunt neque nemo"""
danielle_hussain_5274,Danielle Hussain,24.0,45.1,46.2,"""(Dolore quis) , Vero consectetur recusandae and Non placeat ullam""","""Facilis iure accusamus iusto: Vero commodi, Aperiam animi"""
