# This is a comment line to skip
name;total_count;comment;review
Martin Wilson;38.0;"""At floor individual vote today interesting; Reach safe image big Alone chance than""";"""Beautiful; Use ; Long win which less believe choice"""
Robert Rogers;20.0;"""Memory various never when: Sport reality; Activity culture level we""";"""Price surface leader: Republican site knowledge; Bar ever message drive"""
Christopher Olson;28.0;"""Note: He; then Ball tell""";"""Accept structure science: Pretty team produce; Own military"""
Nicole Davis;52.0;"""Population money exactly; Sell outside individual election support Chair""";"""Mother its: Whom; Program story ever let clearly"""
Daniel Castro;57.0;"""(Girl follow) ; Factor hard and Worry figure detail produce market""";"""Note: Technology ask guy management knowledge; then Of information morning"""
John Armstrong;69.0;"""Store none per: Food nice; Do""";"""Wonder; Wait action Force"""
Aaron Humphrey;37.0;"""Exist car information hold until; Until describe nor south this Image recent""";"""Note: Southern buy; then Short coach line fill guess worker"""
Anthony Jones;42.0;"""Note: Attorney rich there avoid; then Not generation large above""";"""So answer central remember; Business teach ; Family meeting know"""
Robert Hall;56.0;"""Four media fast; Shake ; Recent gas""";"""Be stand general ago behind type; Amount white Heart"""
D;88.0;"""Owner teach much anything true; Behavior evening sister pretty ; Could identify over""";"""Note: Special; then Thank reality million above main respond"""
Gerald Calderon;82.0;"""Note: The; then Each member clearly determine before""";"""Start safe thought; Mind foreign weight safe ; Color year mean physical campaign"""
Diane Blevins;66.0;"""Note: Anything picture father baby teach shoulder; then Respond good""";"""Sure receive treatment assume: Series number; Democratic hospital"""
Lee Reed;54.0;"""Sit result us economy: Professional area benefit; Land from entire enter""";"""(Thing city dream outside) ; Save sister return and Total"""
Matthew Yang;42.0;"""Note: Skin identify forward writer; then Consumer plant""";"""(Claim action mission) ; Food perform and Television available because"""
Lisa Evans;64.0;"""(Prevent) ; We ago lead soon and Water difference""";"""Production summer push commercial name ago: Far oil yourself; Beyond law"""
Mary Mccullough;41.0;"""National up particularly year significant; News their opportunity more ; Green into play give focus argue""";"""Note: Good; then Measure prepare action least"""
Joshua Moore Jr.;60.0;"""Dream get avoid; Support west either visit mean business Account law role class they""";"""Note: Effect fill president send live truth; then Campaign"""
Whitney Richardson;2.0;"""Effort perform raise would cause: Manager; Foot base""";"""Politics ever happy: Rule kind yes; Itself down performance appear yeah"""
