name;score;rating;summary;description
Graham Warner;28.0;41.1;"""Note: Numquam itaque asperiores alias; then Et at""";"""Natus adipisci veritatis soluta asperiores; Tempora dolores suscipit quisquam nemo Illo alias soluta in"""
Carl Harding;73.0;96.1;"""Ea tempore similique; Vitae eveniet necessitatibus eligendi ; Minima""";"""Aspernatur dolore; Sed ratione ; Quisquam tenetur"""
Jade Pritchard;20.0;95.1;"""Note: Enim consequatur a; then Labore consequuntur necessitatibus maiores exercitationem""";"""(Esse eos voluptas) ; Voluptate ratione assumenda and Odio saepe"""
Mrs Jessica Jones;60.0;22.1;"""(Optio adipisci dolor quisquam) ; Dicta ipsam quibusdam voluptatibus and Vero""";"""(Debitis itaque quidem) ; Nam numquam and Aperiam qui totam reiciendis"""
Stephen Nelson;2.0;;"""Note: Ipsam recusandae harum eius; then Tenetur corrupti iure""";"""Maxime odit: Ea est eaque; Debitis"""
Mr Liam Johnson;2.0;34.1;"""(Voluptatum est non) ; Facilis nobis quos and Sint deleniti""";"""Note: Quis reprehenderit corporis amet quo ad; then Harum ducimus"""
Dean Buckley;11.0;59.1;"""Note: Fuga tempore; then Mollitia temporibus facere""";"""(Aliquam) ; Aut repudiandae and Excepturi esse"""
Debra Dawson;5.0;17.1;"""At natus; Molestias harum et beatae Amet vitae dignissimos maxime mollitia""";"""Ipsa delectus: Itaque incidunt eligendi; Deleniti sint"""
Leigh Richardson;11.0;39.1;"""Eius; Repellat iure ; Fugiat dignissimos""";"""Commodi doloribus consectetur; Dolor accusamus Libero iusto"""
Stephen Walker;56.0;59.1;"""Odio aut; Ex ad ; Delectus adipisci""";"""(Error facere pariatur iste officiis) ; Officiis cum and Sint amet sint adipisci similique"""
Dennis Matthews;90.0;62.1;"""Ex dignissimos: Laboriosam eveniet occaecati voluptatibus ducimus; Ipsum voluptates officia temporibus""";"""Note: Facilis perferendis at quasi quam; then Ea cupiditate perspiciatis"""
Dr Steven Harris;17.0;79.1;"""Illum ducimus similique: Totam cupiditate quis sit; Perspiciatis""";"""Dignissimos corrupti nemo suscipit harum: Facere tempore odio; Qui quos consequatur iure optio delectus"""
Dr Henry Savage;;39.1;"""Alias minus quisquam: Aliquid molestiae at quae; Assumenda at architecto unde reprehenderit""";"""Ex ad; Optio eligendi dignissimos dicta ; Iusto libero minus temporibus"""
Miss Kelly Powell;9.0;53.1;"""(Commodi reiciendis cum aspernatur) ; Officia voluptatem and Tempore sapiente at""";"""(Quibusdam dolor suscipit tenetur) ; Non modi magnam commodi and Officiis"""
Eric Bailey;80.0;38.1;"""Note: Ad incidunt; then Tenetur quia rem""";"""Note: Temporibus laudantium iure laudantium; then Quasi quos assumenda"""
Mr Jamie Burns;45.0;98.1;"""Note: Pariatur pariatur expedita; then Veritatis""";"""Eveniet minima quaerat architecto aspernatur: Itaque totam; Quis"""
Dr Kerry Richards;26.0;9.1;"""(Repudiandae commodi harum) ; Deserunt eos sit error and Mollitia""";"""Explicabo illo porro: Adipisci autem dolores explicabo; Earum impedit mollitia nostrum suscipit"""
Declan Jones;84.0;83.1;"""(Excepturi qui sequi autem) ; Exercitationem nihil repellat voluptate and Et dolore occaecati""";"""Culpa; Sit Veritatis aspernatur labore"""
Dr Debra Akhtar;41.0;50.1;"""Placeat vel porro; Dolores ducimus Eaque iure""";"""Note: Quidem dolorem alias cum aliquid laboriosam; then Sint"""
x;81.0;28.1;"""Vel; Nostrum ex ; Earum""";"""Quis officia facilis; Voluptatibus accusamus expedita quia iure voluptas ; Qui quia tempore"""
