username;name;salary;total_count;note;remark
dr_williams_7959;Dr Joanna Williams;;94.1;"""(Accusantium) ; Fugit ipsum consequuntur numquam and Deserunt fuga""";"""Provident aliquid libero: Voluptates qui; Iure omnis quas"""
adam_marshall_8386;Adam Davies-Marshall;41.0;65.1;"""Accusamus dolorem dignissimos: Voluptas debitis; Provident error reprehenderit nemo velit cupiditate""";"""Expedita nemo: Autem recusandae pariatur; Perferendis ipsum corporis"""
leah_rhodes_3629;x;2.0;88.1;"""Quod accusantium; Quos reiciendis Eos""";"""Note: Nobis tempore at praesentium; then Consectetur"""
ruth_hill_6916;Ruth Hill;41.0;23.1;"""Note: Sit at eveniet; then Magni""";"""Quia repellendus exercitationem; Facilis iste aliquam ; Facilis"""
ms_willis_8335;Ms Cheryl Willis;62.0;35.1;"""(Est placeat debitis) ; Vel dolorum and Consequuntur doloribus corporis tempore""";"""(Provident sed ducimus reprehenderit omnis) ; Laboriosam itaque totam ut sapiente and Corporis sint"""
mr_bevan_3172;Mr Gavin Bevan;50.0;85.1;"""Note: Mollitia excepturi veritatis; then Enim""";"""Note: Dicta aut earum rerum; then Repellendus"""
mrs_green_9755;Mrs Jemma Green;3.0;65.1;"""Note: Eius; then Ea""";"""Molestias dolorum blanditiis; Sint soluta Laborum velit esse cum libero"""
iain_parker_1740;Iain Parker;7.0;47.1;"""Placeat modi: Facere totam ipsam repudiandae provident; Voluptatibus itaque rerum unde eveniet""";"""Veritatis facere minus velit: Quae aliquam nostrum; Cupiditate"""
marc_humphries_2534;Marc King-Humphries;98.0;45.1;"""Debitis eveniet ea voluptatem: Exercitationem aspernatur ipsum; Iure""";"""Animi labore voluptate; Minus provident ; Amet aspernatur nam"""
nicholas_lane_2325;Nicholas Lane;89.0;32.1;"""Assumenda; Voluptate repudiandae quo ; Adipisci earum labore itaque""";"""Note: Nihil quaerat fuga consequatur; then Eius aliquam et"""
rebecca_brown_9018;Rebecca Brown;72.0;49.1;"""Note: Autem inventore; then Dignissimos""";"""Note: Molestias labore; then Saepe vero ad"""
dr_richards_8204;Dr Hugh Richards;63.0;27.1;"""(Quasi repellendus) ; Ratione excepturi and Laborum""";"""(Voluptatibus autem nisi magnam commodi eligendi) ; Quae ipsa voluptate and Fuga"""
mrs_taylor_1386;Mrs Lindsey Taylor;21.0;29.1;"""Note: Numquam impedit veniam; then Iste natus placeat""";"""Ab consequuntur voluptatum; Deserunt ducimus Alias"""
alexander_potter_2219;Alexander Barber-Potter;23.0;60.1;"""(Dolores ducimus quis) ; Asperiores eligendi quam quasi and Quaerat dolorem odio alias nihil qui""";"""Culpa a temporibus: Dolores ipsam omnis; Voluptates dicta"""
dr_mcdonald_4873;Dr Nigel McDonald;65.0;89.1;"""Libero: Neque commodi itaque; Consequatur assumenda a""";"""Nesciunt ipsum porro est adipisci: Facere aperiam; Nisi velit eos pariatur esse"""
simon_matthews_7719;Simon Matthews;48.0;36.1;"""Ipsum fugiat ut hic quam: Officia numquam aperiam; Nihil autem nisi""";"""(Libero sapiente) ; Doloremque ea iusto and Amet doloremque"""
kyle_johnson_5089;Kyle Johnson;40.0;92.1;"""Note: Rerum dicta autem; then Quos accusamus temporibus iste animi repellendus""";"""(Sapiente fuga) ; Nulla fugit nihil and Autem eligendi nemo ad porro"""
brenda_richards_9046;Brenda Richards;10.0;33.1;"""(Eligendi eum sequi) ; Aspernatur iure optio and Totam hic quae quod quos""";"""Note: Nulla vero eius ducimus; then Sunt nesciunt"""
pamela_cox_0220;Pamela Cox;6.0;62.1;"""Note: Neque saepe quasi mollitia; then Rem totam voluptates vel illo vitae""";"""Nobis laborum maxime quam; Eius dolorem adipisci hic nesciunt fugiat Modi eum consequatur maiores"""
mr_edwards_1633;Mr Barry Edwards;71.0;4.1;"""Tempore; Commodi ab enim hic labore Praesentium""";"""Corporis architecto facere: Ab harum quo; Iusto culpa occaecati"""
damien_johnson_2691;Damien Allen-Johnson;61.0;3.1;"""Iusto hic dolores sit eum fuga; Aperiam labore maiores natus ; Voluptatum""";"""Note: Dolorum cum odit harum quidem; then Officia"""
iain_evans_9127;Iain Evans;43.0;11.1;"""(Rerum voluptatibus) ; Occaecati sint and Error""";"""Accusantium exercitationem unde explicabo aspernatur: Autem nobis; Accusantium soluta cum"""
