# This is a comment line to skip
username,name,total_count,salary,score,remark
mohammed_campbell_9193,Mohammed Campbell,63.0,23.1,8.2,'''Facilis quibusdam repellat accusamus et: Ratione neque fugiat laboriosam excepturi, Adipisci odio'''
karen_murray_0084,Karen Edwards-Murray,54.0,21.1,29.2,'''(Quasi nisi consectetur) , Necessitatibus corrupti and Et earum dolorem nobis'''
rachael_ball_2994,Rachael Ball,47.0,50.1,71.2,'''Totam excepturi fuga; Quo temporibus nihil inventore fugiat , Distinctio ducimus excepturi ullam'''
amelia_jackson_0771,Amelia Jackson,6.0,29.1,10.2,'''Note: Soluta libero totam, then Asperiores commodi voluptatem aliquid'''
connor_robson_4812,Connor Carroll-Robson,2.0,43.1,27.2,'''Beatae tempore: Provident doloribus minima, Optio provident'''
dr_marshall_0250,o,41.0,75.1,7.2,'''Quasi quasi optio non; In , Possimus saepe voluptates atque'''
mrs_wells_6657,Mrs Jacqueline Wells,9.0,37.1,62.2,'''Note: Aliquam consectetur saepe maxime voluptas quia, then Nesciunt facilis'''
jacqueline_andrews_1580,Jacqueline Butcher-Andrews,12.0,33.1,43.2,'''Rerum sint culpa eum voluptate; Ipsum minus , Sunt molestias necessitatibus rem sapiente'''
vanessa_watkins_5000,Vanessa Taylor-Watkins,98.0,21.1,11.2,'''Maiores aliquid rerum, Fugiat nostrum mollitia pariatur accusamus Esse debitis nam iste repellendus'''
caroline_bennett_8896,Caroline Patel-Bennett,56.0,42.1,35.2,'''(Eligendi qui blanditiis) , Voluptatum and Sapiente enim est incidunt'''
amber_harris_5787,Amber Harris,94.0,91.1,,'''Facilis tempora delectus quaerat; Ipsum soluta quam quis blanditiis , Fugit modi dicta'''
chloe_wilson_1074,Chloe Wilson,44.0,,35.2,'''Fugit, Nulla aut qui minima laborum labore Vitae illo voluptate nam soluta'''
mr_morris_8776,Mr David Morris,87.0,63.1,27.2,'''Fuga molestiae harum dignissimos non, Debitis repellat Facilis possimus quidem'''
christine_murphy_4296,Christine Robinson-Murphy,61.0,78.1,58.2,'''(Adipisci similique) , Totam corrupti and Temporibus omnis debitis'''
frances_stone_1961,Frances Stone,50.0,22.1,5.2,'''Commodi quidem nulla; Molestiae eius corrupti excepturi , Incidunt consectetur'''
